id,word,word_id,sentence,kr,tokens
1,一,1,リンゴを一つください。,사과 하나 주세요.,"[{""surface"": ""リンゴ"", ""hasKanji"": false}, {""surface"": ""を"", ""hasKanji"": false}, {""surface"": ""一"", ""kanji"": ""一"", ""furigana"": ""ひと"", ""hasKanji"": true}, {""surface"": ""つ"", ""hasKanji"": false}, {""surface"": ""ください"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
2,一,1,今日は一月一日です。,오늘은 1월 1일입니다.,"[{""surface"": ""今日"", ""kanji"": ""今日"", ""furigana"": ""きょう"", ""hasKanji"": true}, {""surface"": ""は"", ""hasKanji"": false}, {""surface"": ""一"", ""kanji"": ""一"", ""furigana"": ""いち"", ""hasKanji"": true}, {""surface"": ""月"", ""kanji"": ""月"", ""furigana"": ""がつ"", ""hasKanji"": true}, {""surface"": ""一日"", ""kanji"": ""一日"", ""furigana"": ""ついたち"", ""hasKanji"": true}, {""surface"": ""です"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
3,二,2,弟は二歳です。,남동생은 두 살입니다.,"[{""surface"": ""弟"", ""kanji"": ""弟"", ""furigana"": ""おとうと"", ""hasKanji"": true}, {""surface"": ""は"", ""hasKanji"": false}, {""surface"": ""二"", ""kanji"": ""二"", ""furigana"": ""に"", ""hasKanji"": true}, {""surface"": ""歳"", ""kanji"": ""歳"", ""furigana"": ""さい"", ""hasKanji"": true}, {""surface"": ""です"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
4,二,2,ケーキを二つ買いました。,케이크를 두 개 샀습니다.,"[{""surface"": ""ケーキ"", ""hasKanji"": false}, {""surface"": ""を"", ""hasKanji"": false}, {""surface"": ""二"", ""kanji"": ""二"", ""furigana"": ""ふた"", ""hasKanji"": true}, {""surface"": ""つ"", ""hasKanji"": false}, {""surface"": ""買い"", ""kanji"": ""買"", ""furigana"": ""か"", ""hasKanji"": true}, {""surface"": ""まし"", ""hasKanji"": false}, {""surface"": ""た"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
5,三,3,バスは三分後に来ます。,버스는 3분 후에 옵니다.,"[{""surface"": ""バス"", ""hasKanji"": false}, {""surface"": ""は"", ""hasKanji"": false}, {""surface"": ""三"", ""kanji"": ""三"", ""furigana"": ""さん"", ""hasKanji"": true}, {""surface"": ""分"", ""kanji"": ""分"", ""furigana"": ""ふん"", ""hasKanji"": true}, {""surface"": ""後"", ""kanji"": ""後"", ""furigana"": ""ご"", ""hasKanji"": true}, {""surface"": ""に"", ""hasKanji"": false}, {""surface"": ""来"", ""kanji"": ""来"", ""furigana"": ""き"", ""hasKanji"": true}, {""surface"": ""ます"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
6,三,3,三月は春が始まる季節です。,3월은 봄이 시작되는 계절입니다.,"[{""surface"": ""三"", ""kanji"": ""三"", ""furigana"": ""さん"", ""hasKanji"": true}, {""surface"": ""月"", ""kanji"": ""月"", ""furigana"": ""がつ"", ""hasKanji"": true}, {""surface"": ""は"", ""hasKanji"": false}, {""surface"": ""春"", ""kanji"": ""春"", ""furigana"": ""はる"", ""hasKanji"": true}, {""surface"": ""が"", ""hasKanji"": false}, {""surface"": ""始まる"", ""kanji"": ""始"", ""furigana"": ""はじ"", ""hasKanji"": true}, {""surface"": ""季節"", ""kanji"": ""季節"", ""furigana"": ""きせつ"", ""hasKanji"": true}, {""surface"": ""です"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
7,四,4,四人家族です。,네 명 가족입니다.,"[{""surface"": ""四"", ""kanji"": ""四"", ""furigana"": ""よん"", ""hasKanji"": true}, {""surface"": ""人"", ""kanji"": ""人"", ""furigana"": ""にん"", ""hasKanji"": true}, {""surface"": ""家族"", ""kanji"": ""家族"", ""furigana"": ""かぞく"", ""hasKanji"": true}, {""surface"": ""です"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
8,四,4,四月には桜が咲きます。,4월에는 벚꽃이 핍니다.,"[{""surface"": ""四"", ""kanji"": ""四"", ""furigana"": ""よん"", ""hasKanji"": true}, {""surface"": ""月"", ""kanji"": ""月"", ""furigana"": ""がつ"", ""hasKanji"": true}, {""surface"": ""に"", ""hasKanji"": false}, {""surface"": ""は"", ""hasKanji"": false}, {""surface"": ""桜"", ""kanji"": ""桜"", ""furigana"": ""さくら"", ""hasKanji"": true}, {""surface"": ""が"", ""hasKanji"": false}, {""surface"": ""咲き"", ""kanji"": ""咲"", ""furigana"": ""さ"", ""hasKanji"": true}, {""surface"": ""ます"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
9,五,5,本を五冊読みました。,책을 다섯 권 읽었습니다.,"[{""surface"": ""本"", ""kanji"": ""本"", ""furigana"": ""ほん"", ""hasKanji"": true}, {""surface"": ""を"", ""hasKanji"": false}, {""surface"": ""五"", ""kanji"": ""五"", ""furigana"": ""ご"", ""hasKanji"": true}, {""surface"": ""冊"", ""kanji"": ""冊"", ""furigana"": ""さつ"", ""hasKanji"": true}, {""surface"": ""読み"", ""kanji"": ""読"", ""furigana"": ""よ"", ""hasKanji"": true}, {""surface"": ""まし"", ""hasKanji"": false}, {""surface"": ""た"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
10,五,5,五時に待ち合わせましょう。,다섯 시에 만나기로 합시다.,"[{""surface"": ""五"", ""kanji"": ""五"", ""furigana"": ""ご"", ""hasKanji"": true}, {""surface"": ""時"", ""kanji"": ""時"", ""furigana"": ""じ"", ""hasKanji"": true}, {""surface"": ""に"", ""hasKanji"": false}, {""surface"": ""待ち合わせ"", ""kanji"": ""待合"", ""furigana"": ""まちあわせ"", ""hasKanji"": true}, {""surface"": ""ましょう"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
